ID,korisnik,aktivnost,datum,trajanje_min,kalorije,otkucaji,deleted
1,Aleksandar Radanović,Trčanje,2024-08-24,138,389,160,0
2,Stefan Radanović,Biciklizam,2025-06-17,42,278,85,1
3,Miloš Kovačević,Plivanje,2025-06-17,137,1414,151,1
4,Vesna Jovanović,Biciklizam,2024-05-07,135,995,187,0
5,Ivana Knežević,Teretana,2025-01-06,131,853,125,0
6,Ana Dimitrijević,Teretana,2025-01-19,130,103,99,0
7,Marko Ilić,Biciklizam,2024-05-24,29,685,160,0
8,Marko Popović,Joga,2025-05-05,67,1262,185,0
9,Jelena Popović,Plivanje,2024-03-23,50,353,79,0
10,Ivana Vuković,Teretana,2025-10-13,89,539,96,0
11,Petar Ristić,Trčanje,2025-10-19,175,420,153,0
12,Marko Matić,Teretana,2024-05-23,55,234,92,1
13,Dragana Đorđević,Joga,2024-05-04,135,1265,150,0
14,Nemanja Marković,Teretana,2024-04-18,123,914,168,0
15,Miloš Dimitrijević,Plivanje,2024-07-18,131,1202,76,0
16,Ana Vuković,Trčanje,2025-05-23,107,645,81,0
17,Vesna Tadić,Joga,2025-10-07,126,1126,87,1
18,Kristina Lukić,Biciklizam,2024-12-28,50,1332,91,0
19,Vladimir Vasić,Plivanje,2024-01-12,41,1473,190,0
20,Danijel Matić,Trčanje,2024-09-30,32,669,141,0
21,Vesna Kovačević,Plivanje,2025-10-04,58,1242,165,0
22,Dragana Lukić,Biciklizam,2024-05-31,162,350,93,0
23,Petar Radanović,Teretana,2025-03-12,134,1047,200,0
24,Vesna Lukić,Biciklizam,2025-03-22,35,1187,134,0
25,Milan Radanović,Teretana,2024-01-11,51,383,169,0
26,Miloš Milenković,Biciklizam,2025-07-20,12,955,183,0
27,Jovana Vasić,Trčanje,2025-10-09,139,440,83,0
28,Sara Božić,Plivanje,2025-01-06,62,932,134,0
29,Petar Ilić,Teretana,2024-02-07,18,99,199,0
30,Miloš Janković,Biciklizam,2025-03-04,159,1123,163,0
31,Filip Ilić,Teretana,2024-12-10,150,853,155,0
32,Nikolina Pavlović,Trčanje,2024-07-01,148,754,91,0
33,Jelena Pavlović,Biciklizam,2025-08-12,108,995,100,0
34,Katarina Ilić,Trčanje,2024-02-12,66,740,93,0
35,Milan Knežević,Joga,2025-02-02,127,1345,95,0
36,Vesna Janković,Joga,2025-07-20,109,755,157,0
37,Nikolina Stojić,Trčanje,2025-01-16,132,540,105,0
38,Nikolina Božić,Joga,2024-07-09,165,1013,118,0
39,Aleksandar Stojić,Trčanje,2025-04-15,62,177,132,0
40,Marija Milošević,Trčanje,2024-10-12,115,125,70,0
41,Vesna Milošević,Teretana,2024-10-20,23,866,79,0
42,Vladimir Knežević,Teretana,2024-09-02,25,290,83,0
43,Marko Marković,Joga,2024-08-25,23,886,150,0
44,Nikolina Janković,Joga,2024-04-15,110,447,105,0
45,Milica Milošević,Plivanje,2024-05-07,43,370,191,0
46,Nikolina Vukić,Biciklizam,2024-01-01,32,754,145,0
47,Stefanija Vuković,Biciklizam,2025-08-13,47,851,160,0
48,Teodora Božić,Trčanje,2025-03-10,26,137,61,0
49,Ivana Vasić,Plivanje,2024-02-11,176,1001,198,0
50,Ivana Lukić,Trčanje,2024-09-20,160,1012,156,0
51,Stefanija Tadić,Biciklizam,2024-10-07,175,1388,107,0
52,Marija Nikolić,Plivanje,2025-09-27,48,488,123,0
53,Milica Janković,Biciklizam,2024-05-20,32,886,170,0
54,Tanja Pavlović,Teretana,2025-08-02,41,274,175,0
55,Stefan Ilić,Biciklizam,2024-08-08,68,330,128,0
56,Luka Miladinović,Teretana,2024-08-02,62,168,153,0
57,Ivana Tadić,Trčanje,2024-07-11,95,1166,86,0
58,Luka Ilić,Biciklizam,2025-01-04,59,915,161,0
59,Danijel Aleksić,Plivanje,2024-11-06,56,1475,87,0
60,Milica Knežević,Biciklizam,2024-08-10,78,1345,113,0
61,Miloš Simić,Teretana,2024-05-17,97,800,182,0
62,Aleksa Lukić,Plivanje,2025-09-20,160,1162,107,0
63,Aleksa Petrović,Trčanje,2024-01-16,21,647,177,0
64,Nikola Popović,Trčanje,2024-06-24,61,1347,192,0
65,Aleksa Janković,Plivanje,2024-04-01,116,629,168,0
66,Vladimir Radović,Joga,2025-01-09,55,869,109,0
67,Dragana Ristić,Trčanje,2024-09-26,133,431,62,0
68,Stefan Vukić,Plivanje,2025-06-27,90,674,148,0
69,Vladimir Janković,Trčanje,2025-04-23,86,822,147,0
70,Aleksa Simić,Trčanje,2024-09-07,20,637,145,0
71,Ana Matić,Biciklizam,2024-11-12,16,1076,196,0
72,Milica Jovanović,Teretana,2024-11-05,59,1112,197,0
73,Filip Knežević,Joga,2025-11-24,96,899,180,0
74,Dragana Vasić,Plivanje,2025-10-17,158,701,165,0
75,Petar Milošević,Teretana,2024-07-23,46,101,168,0
76,Marko Milošević,Teretana,2025-05-06,139,274,199,0
77,Ivana Milenković,Trčanje,2025-06-10,52,1231,124,0
78,Filip Đorđević,Trčanje,2025-04-10,84,191,191,0
79,Tanja Janković,Teretana,2025-03-24,106,1172,158,0
80,Marko Ilić,Plivanje,2025-09-23,112,1099,113,0
81,Tanja Petrović,Plivanje,2025-05-03,85,183,170,0
82,Sara Stojić,Biciklizam,2024-07-11,176,581,166,0
83,Milica Stojić,Teretana,2025-04-11,173,837,188,0
84,Milan Vukić,Plivanje,2025-10-20,20,1008,71,0
85,Jovana Milenković,Plivanje,2024-02-17,18,1169,102,0
86,Danijel Simić,Joga,2025-01-05,93,1156,94,0
87,Kristina Popović,Biciklizam,2025-10-11,35,1008,63,0
88,Vladimir Kovačević,Teretana,2025-07-02,154,372,104,0
89,Stefanija Aleksić,Trčanje,2025-09-16,61,908,177,0
90,Ivana Božić,Teretana,2024-07-23,147,390,107,0
91,Kristina Miladinović,Joga,2024-05-26,151,1218,106,0
92,Luka Aleksić,Trčanje,2025-12-19,52,833,95,0
93,Katarina Milenković,Plivanje,2024-01-26,137,272,174,0
94,Aleksandar Janković,Teretana,2025-07-09,120,1416,107,0
95,Vladimir Tadić,Trčanje,2024-02-29,140,1009,76,0
96,Ivana Aleksić,Plivanje,2025-05-15,27,253,186,0
97,Marija Janković,Joga,2025-08-26,144,838,118,0
98,Tanja Lukić,Plivanje,2024-02-04,70,369,173,0
99,Aleksandar Marković,Biciklizam,2024-11-17,17,446,196,0
100,Marko Radanović,Teretana,2024-11-19,42,637,101,0
101,Vesna Vasić,Joga,2025-07-13,93,1217,68,0
102,Marko Milenković,Biciklizam,2024-05-22,96,629,185,0
103,Stefanija Milošević,Trčanje,2025-10-24,133,223,161,0
104,Katarina Stojić,Biciklizam,2024-10-22,39,1233,101,0
105,Petar Petrović,Biciklizam,2025-02-27,55,1491,64,0
106,Dragana Milenković,Plivanje,2024-05-05,87,169,148,0
107,Nikolina Radanović,Biciklizam,2024-04-23,125,425,90,0
108,Aleksa Knežević,Joga,2025-11-14,150,169,170,0
109,Teodora Miladinović,Teretana,2025-07-23,116,537,91,0
110,Aleksandar Dimitrijević,Trčanje,2025-08-09,87,218,198,0
111,Ivana Miladinović,Plivanje,2025-03-11,95,970,164,0
112,Marija Milenković,Plivanje,2025-06-10,95,891,130,0
113,Marija Dimitrijević,Biciklizam,2024-06-05,105,1410,73,0
114,Aleksa Aleksić,Biciklizam,2025-10-09,18,464,60,0
115,Aleksandar Vasić,Plivanje,2024-02-20,177,1148,160,0
116,Teodora Tadić,Plivanje,2025-11-24,117,1326,158,0
117,Danijel Miladinović,Joga,2024-05-17,137,1055,93,0
118,Stefanija Nikolić,Teretana,2024-06-23,126,56,192,0
119,Marko Kovačević,Biciklizam,2024-11-15,169,465,79,0
120,Ana Vukić,Joga,2025-01-29,152,1241,190,0
121,Dragana Marković,Biciklizam,2025-06-23,179,88,155,0
122,Miloš Ristić,Plivanje,2024-07-23,92,369,125,0
123,Stefanija Milenković,Plivanje,2025-02-24,56,364,109,0
124,Tanja Milošević,Trčanje,2025-06-13,50,361,101,0
125,Tanja Radović,Teretana,2024-10-30,77,756,101,0
126,Milan Stojić,Joga,2025-10-14,73,57,93,0
127,Nikola Miladinović,Trčanje,2024-01-18,40,998,152,0
128,Stefan Đorđević,Teretana,2024-01-28,173,117,124,0
129,Katarina Radović,Joga,2025-05-04,170,174,154,0
130,Nemanja Matić,Trčanje,2024-10-31,167,1055,163,0
131,Teodora Lukić,Teretana,2025-01-26,163,1103,79,0
132,Stefan Popović,Trčanje,2025-06-17,46,730,62,0
133,Jovana Matić,Trčanje,2025-02-22,61,1218,87,0
134,Aleksa Nikolić,Teretana,2025-07-17,144,1365,199,0
135,Teodora Nikolić,Plivanje,2025-06-06,34,1360,108,0
136,Nikola Radanović,Trčanje,2025-03-09,53,70,121,0
137,Milica Vasić,Biciklizam,2024-04-29,22,650,147,0
138,Luka Milenković,Teretana,2025-04-23,36,1065,64,0
139,Jelena Stanković,Teretana,2024-10-04,58,276,153,0
140,Nikolina Popović,Plivanje,2025-04-01,80,347,146,0
141,Ivana Dimitrijević,Biciklizam,2025-11-05,127,969,196,0
142,Nikola Jovanović,Joga,2025-11-22,171,266,123,0
143,Dragana Stojić,Trčanje,2025-05-29,161,619,150,0
144,Nikolina Vasić,Biciklizam,2024-06-20,35,463,190,0
145,Marko Božić,Teretana,2025-08-29,43,123,141,0
146,Danijel Lukić,Plivanje,2025-05-02,55,551,182,0
147,Marko Stanković,Teretana,2024-01-11,84,325,160,0
148,Ivana Radović,Biciklizam,2024-12-24,127,1274,199,0
149,Teodora Janković,Teretana,2025-04-11,29,795,174,0
150,Aleksa Miladinović,Teretana,2025-09-15,98,1228,191,0
151,Stefan Stojić,Biciklizam,2024-07-21,180,225,82,0
152,Luka Simić,Trčanje,2024-10-11,72,254,112,0
153,Danijel Knežević,Biciklizam,2025-05-14,174,247,176,0
154,Nikolina Jovanović,Trčanje,2024-07-06,52,696,181,0
155,Jovana Stojić,Trčanje,2025-02-15,70,1261,158,0
156,Aleksandar Radović,Plivanje,2024-09-09,180,744,170,0
157,Filip Kovačević,Plivanje,2025-06-11,58,958,122,0
158,Danijel Petrović,Teretana,2024-11-20,141,511,88,0
159,Ana Tadić,Joga,2025-01-10,103,413,84,0
160,Jovana Popović,Teretana,2025-01-15,25,440,105,0
161,Marko Đorđević,Plivanje,2024-11-27,60,1207,88,0
162,Sara Kovačević,Trčanje,2024-07-29,101,965,193,0
163,Sara Vuković,Biciklizam,2024-05-22,22,1097,73,0
164,Petar Radović,Teretana,2024-11-24,118,524,81,0
165,Teodora Kovačević,Joga,2024-11-17,13,620,135,0
166,Teodora Stojić,Joga,2025-02-05,55,980,200,0
167,Ivana Božić,Teretana,2024-09-09,67,243,181,0
168,Jovana Vuković,Plivanje,2025-05-05,115,1008,114,0
169,Tanja Ilić,Joga,2024-04-03,167,240,92,0
170,Jovana Nikolić,Biciklizam,2024-08-22,22,1371,182,0
171,Filip Janković,Joga,2024-12-26,73,918,105,0
172,Tanja Jovanović,Plivanje,2024-10-09,76,436,122,0
173,Teodora Aleksić,Teretana,2024-01-18,25,1090,148,0
174,Tanja Tadić,Plivanje,2025-10-26,50,671,177,0
175,Stefanija Ristić,Biciklizam,2025-09-07,168,1050,164,0
176,Nikolina Stanković,Teretana,2025-02-04,66,1173,125,0
177,Kristina Petrović,Plivanje,2024-02-09,123,1168,75,0
178,Teodora Jovanović,Teretana,2024-08-23,11,1376,137,0
179,Dragana Tadić,Plivanje,2024-12-19,71,519,143,0
180,Marko Radović,Biciklizam,2024-10-26,43,289,159,0
181,Sara Đorđević,Joga,2025-10-03,46,1074,152,0
182,Danijel Jovanović,Trčanje,2024-09-05,145,58,153,0
183,Vladimir Stanković,Plivanje,2025-03-25,166,1299,91,0
184,Petar Simić,Plivanje,2025-08-05,133,1459,165,0
185,Ana Pavlović,Teretana,2025-04-24,20,399,100,0
186,Aleksandar Jovanović,Joga,2024-02-15,74,534,87,0
187,Ana Miladinović,Plivanje,2025-03-30,35,1032,149,0
188,Vladimir Aleksić,Plivanje,2024-05-19,117,529,62,0
189,Ivana Đorđević,Teretana,2024-09-30,180,726,163,0
190,Dragana Matić,Biciklizam,2024-10-13,170,1173,154,0
191,Teodora Milošević,Plivanje,2024-07-21,31,860,158,0
192,Petar Matić,Trčanje,2025-06-14,141,1318,90,0
193,Milica Jovanović,Teretana,2025-10-26,121,1219,185,0
194,Stefan Vasić,Trčanje,2025-01-10,168,967,148,0
195,Nemanja Lukić,Plivanje,2025-10-18,171,1311,77,0
196,Milica Aleksić,Teretana,2024-09-23,155,270,91,0
197,Marko Vukić,Biciklizam,2025-02-01,135,207,178,0
198,Stefanija Marković,Teretana,2024-02-01,51,1448,123,0
199,Luka Knežević,Trčanje,2024-10-20,85,1164,83,0
200,Miloš Milošević,Biciklizam,2025-06-05,32,581,75,0
201,Stefan Miladinović,Teretana,2024-02-05,64,255,187,0
202,Ivana Vasić,Teretana,2024-11-13,129,1042,84,0
203,Filip Radović,Biciklizam,2024-08-19,103,1265,162,0
204,Katarina Janković,Joga,2024-06-19,127,1073,142,0
205,Nemanja Vasić,Biciklizam,2024-09-10,126,529,77,0
206,Stefanija Kovačević,Teretana,2024-01-06,137,124,177,0
207,Petar Lukić,Teretana,2024-06-27,134,516,127,0
208,Ivana Radović,Plivanje,2024-11-06,101,1173,147,0
209,Jovana Jovanović,Teretana,2025-03-19,90,1117,68,0
210,Tanja Dimitrijević,Plivanje,2024-05-04,90,1028,96,0
211,Milica Nikolić,Plivanje,2025-05-02,146,1423,138,0
212,Nikola Pavlović,Teretana,2025-02-13,38,846,121,0
213,Nikolina Kovačević,Biciklizam,2025-07-09,81,1481,139,0
214,Kristina Ilić,Joga,2024-06-22,112,408,119,0
215,Kristina Stojić,Joga,2025-07-04,147,1297,130,0
216,Ivana Simić,Plivanje,2024-07-28,110,1132,172,0
217,Luka Dimitrijević,Teretana,2024-02-26,62,1196,70,0
218,Marko Stojić,Teretana,2024-09-16,120,749,130,0
219,Vesna Vuković,Plivanje,2024-10-08,157,1488,127,0
220,Milica Marković,Trčanje,2025-08-22,86,550,192,0
221,Marko Vuković,Trčanje,2024-10-18,131,653,91,0
222,Aleksandar Stanković,Biciklizam,2024-07-15,167,717,170,0
223,Luka Pavlović,Joga,2024-12-28,58,179,65,0
224,Ivana Jovanović,Plivanje,2025-06-22,97,370,109,0
225,Kristina Đorđević,Joga,2024-07-26,107,106,146,0
226,Katarina Popović,Plivanje,2025-05-02,130,559,101,0
227,Aleksandar Miladinović,Joga,2025-10-22,66,1480,169,0
228,Teodora Marković,Plivanje,2025-02-07,32,1467,92,0
229,Miloš Matić,Plivanje,2025-10-15,57,1472,196,0
230,Marija Božić,Joga,2024-04-25,100,990,77,0
231,Vladimir Nikolić,Joga,2025-04-02,123,599,188,0
232,Stefan Marković,Teretana,2025-03-18,147,279,76,0
233,Stefanija Dimitrijević,Biciklizam,2025-08-30,49,1466,125,0
234,Sara Dimitrijević,Plivanje,2025-01-04,100,1405,104,0
235,Ivana Simić,Teretana,2024-06-21,39,1273,98,0
236,Filip Vukić,Teretana,2024-05-17,135,1432,79,0
237,Kristina Knežević,Plivanje,2024-07-01,164,114,146,0
238,Ana Jovanović,Teretana,2024-11-28,114,599,161,0
239,Miloš Radanović,Biciklizam,2025-02-13,30,1136,167,0
240,Aleksandar Milenković,Trčanje,2025-09-03,55,779,101,0
241,Filip Vuković,Biciklizam,2024-06-15,142,522,200,0
242,Vladimir Simić,Joga,2025-04-24,130,1313,154,0
243,Teodora Milenković,Biciklizam,2024-01-27,80,572,76,0
244,Nemanja Pavlović,Plivanje,2024-01-07,122,698,68,0
245,Tanja Kovačević,Trčanje,2025-01-06,131,1132,175,0
246,Ivana Đorđević,Joga,2024-12-16,134,1249,198,0
247,Jelena Milošević,Plivanje,2025-04-07,103,831,168,0
248,Jovana Ristić,Joga,2025-08-30,147,154,120,0
249,Vladimir Milenković,Joga,2024-10-30,115,655,116,0
250,Stefan Kovačević,Teretana,2024-01-05,105,536,197,0
251,Marko Jovanović,Biciklizam,2024-11-28,156,491,71,0
252,Marko Aleksić,Joga,2025-07-04,85,1208,112,0
253,Vladimir Radanović,Biciklizam,2025-11-09,120,291,143,0
254,Nikolina Petrović,Plivanje,2024-01-14,101,1017,183,0
255,Marko Lukić,Joga,2024-08-19,36,910,108,1
256,Stefan Stanković,Plivanje,2025-10-26,101,1230,97,0
257,Milan Marković,Trčanje,2024-11-13,90,368,66,0
258,Ivana Pavlović,Teretana,2025-03-22,49,370,145,0
259,Kristina Vasić,Teretana,2024-10-12,97,1107,141,0
260,Aleksa Jovanović,Biciklizam,2024-03-26,79,340,138,0
261,Katarina Pavlović,Plivanje,2024-01-20,124,235,188,0
262,Milan Tadić,Trčanje,2025-10-26,132,666,66,0
263,Miloš Božić,Biciklizam,2025-10-25,171,482,60,0
264,Ivana Nikolić,Trčanje,2024-05-03,129,1440,156,0
265,Filip Aleksić,Joga,2025-04-20,20,1458,172,0
266,Nemanja Aleksić,Joga,2025-08-07,46,945,186,0
267,Teodora Popović,Trčanje,2025-10-25,87,1247,95,0
268,Stefanija Vukić,Trčanje,2025-04-03,25,1148,172,0
269,Ivana Radanović,Joga,2024-01-07,36,1243,197,0
270,Nikola Božić,Trčanje,2024-07-13,134,864,119,0
271,Milica Đorđević,Trčanje,2024-03-20,157,1274,135,0
272,Stefanija Petrović,Trčanje,2024-08-28,50,815,148,0
273,Nikola Tadić,Teretana,2024-04-01,151,956,145,0
274,Vladimir Jovanović,Teretana,2025-11-09,19,1492,88,0
275,Ivana Vukić,Biciklizam,2025-05-19,15,322,172,0
276,Sara Aleksić,Biciklizam,2024-11-11,42,99,105,0
277,Marija Stanković,Teretana,2024-03-14,127,938,129,0
278,Filip Petrović,Teretana,2025-12-07,98,1253,74,0
279,Milan Popović,Plivanje,2025-04-17,146,992,174,0
280,Marko Stojić,Joga,2024-12-15,33,178,111,0
281,Milica Radović,Plivanje,2024-05-29,54,1054,179,0
282,Milica Radanović,Trčanje,2025-08-11,128,303,164,0
283,Nikola Đorđević,Trčanje,2024-12-09,180,883,123,0
284,Marko Radanović,Biciklizam,2025-09-07,56,827,152,0
285,Katarina Dimitrijević,Plivanje,2025-10-14,150,248,97,0
286,Filip Jovanović,Joga,2024-11-10,153,136,129,0
287,Nikolina Knežević,Trčanje,2024-06-20,148,465,193,0
288,Aleksandar Ristić,Joga,2024-02-07,71,191,81,0
289,Tanja Jovanović,Teretana,2025-12-20,46,1298,170,0
290,Jelena Marković,Teretana,2024-11-26,52,217,77,0
291,Miloš Stojić,Plivanje,2024-10-01,77,870,139,0
292,Stefan Janković,Joga,2024-01-21,26,978,79,0
293,Vladimir Đorđević,Biciklizam,2024-01-17,85,1176,129,0
294,Danijel Pavlović,Plivanje,2024-02-22,61,991,97,0
295,Miloš Jovanović,Biciklizam,2025-04-27,146,1105,113,0
296,Jelena Kovačević,Biciklizam,2024-12-20,24,469,75,0
297,Marija Jovanović,Trčanje,2024-06-07,109,636,133,0
298,Petar Aleksić,Plivanje,2024-02-22,27,113,100,0
299,Filip Ristić,Biciklizam,2025-04-19,44,744,172,0
300,Sara Stanković,Biciklizam,2025-08-22,171,345,138,0
301,Ana Popović,Plivanje,2024-04-04,138,1339,107,0
302,Ana Stojić,Trčanje,2024-06-09,49,238,66,0
303,Nikola Lukić,Biciklizam,2024-05-28,47,856,139,0
304,Kristina Milošević,Teretana,2025-10-29,104,1491,81,0
305,Petar Đorđević,Biciklizam,2025-03-04,66,1011,130,0
306,Marija Vasić,Joga,2025-05-08,17,420,126,0
307,Dragana Dimitrijević,Trčanje,2025-07-30,125,229,181,0
308,Marko Stanković,Plivanje,2024-12-31,132,757,66,0
309,Filip Tadić,Plivanje,2024-05-23,133,663,135,0
310,Marko Simić,Biciklizam,2024-03-08,157,898,161,0
311,Nemanja Janković,Trčanje,2024-04-01,13,1296,104,0
312,Milica Kovačević,Biciklizam,2025-02-17,78,772,107,0
313,Miloš Nikolić,Joga,2024-10-26,82,1176,183,0
314,Marko Vasić,Trčanje,2025-06-18,156,1434,168,0
315,Stefanija Jovanović,Teretana,2024-11-26,139,582,190,0
316,Jelena Nikolić,Joga,2024-01-24,167,916,127,0
317,Luka Tadić,Plivanje,2024-10-09,103,534,135,0
318,Marko Dimitrijević,Trčanje,2025-06-13,158,1448,119,0
319,Nikola Milenković,Plivanje,2025-11-13,66,891,121,0
320,Ana Petrović,Biciklizam,2025-03-15,27,337,108,0
321,Jovana Ilić,Plivanje,2024-08-12,11,1019,87,0
322,Aleksa Stanković,Teretana,2024-03-13,110,663,132,0
323,Vladimir Lukić,Trčanje,2025-01-15,82,1281,172,0
324,Jovana Kovačević,Trčanje,2024-10-01,86,462,141,0
325,Kristina Radanović,Joga,2025-07-24,65,1482,164,0
326,Milan Aleksić,Biciklizam,2025-07-02,17,1133,198,0
327,Petar Jovanović,Plivanje,2024-01-13,157,1192,153,0
328,Marko Simić,Trčanje,2025-03-10,121,681,79,0
329,Marko Tadić,Biciklizam,2025-09-11,145,715,132,0
330,Jovana Đorđević,Biciklizam,2025-05-03,113,337,129,0
331,Tanja Stojić,Trčanje,2025-07-03,37,1042,101,0
332,Nikolina Miladinović,Plivanje,2024-01-20,61,428,121,0
333,Teodora Matić,Trčanje,2025-08-10,163,814,154,1
334,Nikola Janković,Teretana,2024-05-20,65,209,106,0
335,Danijel Vuković,Biciklizam,2025-12-14,53,1351,118,0
336,Stefanija Božić,Trčanje,2024-05-14,13,1292,70,0
337,Ivana Marković,Plivanje,2025-03-13,159,1074,95,0
338,Stefan Ristić,Joga,2024-05-22,130,363,186,0
339,Ivana Jovanović,Joga,2025-02-14,148,329,197,0
340,Nemanja Ristić,Joga,2025-08-22,98,265,111,0
341,Sara Matić,Plivanje,2024-11-02,161,912,138,0
342,Milica Pavlović,Trčanje,2024-07-24,42,725,176,0
343,Katarina Stanković,Trčanje,2024-02-13,64,341,97,0
344,Ana Knežević,Joga,2025-02-08,156,1279,170,1
345,Sara Jovanović,Plivanje,2025-05-06,177,1154,91,0
346,Luka Ristić,Joga,2025-12-26,150,673,69,0
347,Marko Jovanović,Joga,2024-04-27,20,68,136,0
348,Nemanja Vukić,Teretana,2025-12-13,46,258,73,0
349,Katarina Marković,Biciklizam,2024-11-28,125,992,119,0
350,Dragana Aleksić,Plivanje,2024-04-01,66,800,150,0
351,Ivana Knežević,Trčanje,2024-06-05,177,918,97,0
352,Kristina Pavlović,Joga,2025-06-12,146,880,156,0
353,Filip Vasić,Plivanje,2024-06-01,31,458,141,0
354,Milica Matić,Teretana,2025-05-26,63,581,115,0
355,Nemanja Nikolić,Trčanje,2025-04-13,105,64,178,0
356,Tanja Vasić,Plivanje,2024-10-17,93,1483,160,0
357,Kristina Stanković,Plivanje,2025-07-07,127,507,78,0
358,Luka Stojić,Teretana,2024-05-21,141,1249,123,0
359,Ana Janković,Trčanje,2024-10-20,54,950,155,0
360,Nikolina Lukić,Plivanje,2025-09-11,145,1482,96,0
361,Milan Vuković,Teretana,2025-09-06,178,1031,141,0
362,Ivana Pavlović,Biciklizam,2024-06-21,11,322,151,0
363,Milan Nikolić,Plivanje,2025-08-09,157,633,189,0
364,Vesna Radanović,Trčanje,2024-05-19,178,692,154,0
365,Vesna Ilić,Joga,2024-06-10,73,760,63,0
366,Stefanija Miladinović,Teretana,2025-08-02,145,470,153,0
367,Tanja Miladinović,Joga,2025-09-14,75,1150,193,0
368,Marko Nikolić,Joga,2024-02-18,128,657,190,0
369,Miloš Vasić,Plivanje,2025-08-13,130,1498,123,0
370,Aleksandar Vukić,Trčanje,2024-12-20,87,922,150,0
371,Vesna Đorđević,Joga,2024-07-22,125,384,174,0
372,Tanja Božić,Joga,2025-12-30,25,846,104,0
373,Vesna Ristić,Trčanje,2024-04-07,146,1011,176,0
374,Aleksandar Jovanović,Teretana,2024-04-16,122,668,132,0
375,Filip Radanović,Trčanje,2024-06-02,24,184,155,0
376,Teodora Vuković,Plivanje,2025-09-25,39,726,171,0
377,Aleksandar Kovačević,Trčanje,2024-08-18,163,702,74,0
378,Milan Pavlović,Biciklizam,2025-10-07,67,518,191,0
379,Jelena Stojić,Joga,2024-02-27,95,683,195,0
380,Milan Matić,Trčanje,2024-11-22,175,226,60,0
381,Marija Tadić,Plivanje,2024-07-26,131,1216,160,0
382,Kristina Dimitrijević,Biciklizam,2025-09-20,151,670,131,0
383,Petar Marković,Trčanje,2025-05-13,165,835,70,0
384,Jelena Đorđević,Joga,2025-12-04,157,1086,191,0
